Talker,Listener,Chat Time (Seconds)
Xavier,Joseph,59
Xavier,Penelope,48
Xavier,Nicolas,263
Joseph,Cameron,298
Joseph,Evelyn,593
Joseph,Xavier,360
Joseph,Tucker,57
Joseph,Penelope,48
Joseph,Nicolas,263
Brenna,Ethan,1620
Brenna,Norah,50
Brenna,Jasmine,45
Brenna,Hayden,73
Samuel,Meghan,46
Samuel,Yahir,52
Samuel,Russell,37
Samuel,Sean,649
Samuel,Frank,570
Russell,Dalton,644
Russell,Brodie,2799
Russell,Samuel,645
Russell,Mariana,652
Russell,Sean,649
Yahir,Isaias,44
Yahir,Meghan,46
Yahir,Samuel,645
Yahir,Emely,574
Yahir,Zander,234
Yahir,Frank,570
Meghan,Bryson,757
Meghan,Madeleine,54
Meghan,Dalton,644
Meghan,Yahir,52
Meghan,Samuel,645
Meghan,Frank,570
Isaias,Caroline,758
Isaias,Evelyn,593
Isaias,Madeleine,54
Isaias,Yahir,52
Isaias,Emely,574
Isaias,Zander,234
Cody,Eliana,47
Cody,Karson,686
Cody,Xavier,360
Karson,Eliana,47
Karson,Cody,385
Eliana,Lilah,689
Eliana,Mckenzie,97
Eliana,Eva,472
Eliana,Karson,686
Eliana,Cody,385
Brodie,Jaslene,483
Brodie,Jazlyn,54
Brodie,Ronald,269
Brodie,Dalton,644
Brodie,Russell,37
Brodie,Mariana,652
Dalton,Bryson,757
Dalton,Madeleine,54
Dalton,Brodie,2799
Dalton,Meghan,46
Dalton,Russell,37
Dalton,Mariana,652
Madeleine,Caroline,758
Madeleine,Evelyn,593
Madeleine,Bryson,757
Madeleine,Dalton,644
Madeleine,Isaias,44
Madeleine,Meghan,46
Bryson,Patrick,513
Bryson,Madeleine,54
Bryson,Dalton,644
Bryson,Meghan,46
Evelyn,Cameron,298
Evelyn,Caroline,758
Evelyn,Madeleine,54
Evelyn,Isaias,44
Evelyn,Joseph,59
Evelyn,Tucker,57
Caroline,Travis,517
Caroline,Evelyn,593
Caroline,Madeleine,54
Caroline,Isaias,44
Cameron,Eva,472
Cameron,Evelyn,593
Cameron,Joseph,59
Cameron,Tucker,57
Eva,Lilah,689
Eva,Mckenzie,97
Eva,Cameron,298
Eva,Eliana,47
Mckenzie,Lilah,689
Mckenzie,Eva,472
Mckenzie,Eliana,47
Lilah,Mckenzie,97
Lilah,Eva,472
Lilah,Eliana,47
Alberto,Jasmine,45
Alberto,Mariah,425
Alberto,Braxton,1014
Jasmine,Ethan,1620
Jasmine,Norah,50
Jasmine,Alberto,1622
Jasmine,Brenna,360
Jasmine,Mariah,425
Jasmine,Braxton,1014
Norah,Brayden,1070
Norah,Ethan,1620
Norah,Jasmine,45
Norah,Brenna,360
Ethan,Norah,50
Ethan,Jasmine,45
Ethan,Brenna,360
Brayden,Ashlyn,291
Brayden,Norah,50
Brayden,Erick,474
Ashlyn,Helen,741
Ashlyn,Brayden,1070
Ashlyn,Erick,474
Helen,Ashlyn,291
Patrick,Carson,47
Patrick,Braden,48
Patrick,Bryson,757
Travis,Christina,42
Travis,Braden,48
Travis,Caroline,758
Jose,Erik,194
Jose,Serenity,241
Jose,Kelsey,903
Jose,Cheyanne,1080
Serenity,Jose,1202
Serenity,Kelsey,903
Erik,Jose,1202
Erik,Cheyanne,1080
Braden,Christina,42
Braden,Carson,47
Braden,Travis,517
Braden,Patrick,513
Carson,Brendan,277
Carson,Liam,50
Carson,Braden,48
Carson,Patrick,513
Christina,Katelyn,278
Christina,Liam,50
Christina,Blake,447
Christina,Braden,48
Christina,Travis,517
Blake,Katelyn,278
Blake,Liam,50
Blake,Christina,42
Liam,Katelyn,278
Liam,Brendan,277
Liam,Blake,447
Liam,Christina,42
Liam,Carson,47
Brendan,Vanessa,308
Brendan,Liam,50
Brendan,Carson,47
Katelyn,Isaiah,307
Katelyn,Liam,50
Katelyn,Blake,447
Katelyn,Christina,42
Reid,Kobe,207
Simon,Allie,371
Simon,Carolina,279
Simon,Franklin,242
Franklin,Simon,524
Vanessa,Ronald,269
Vanessa,Brendan,277
Isaiah,Avery,265
Isaiah,Katelyn,278
Kobe,Daniel,327
Kobe,Reid,202
Daniel,Michaela,40
Daniel,Allie,371
Daniel,Kobe,207
Ronald,Jaslene,483
Ronald,Jazlyn,54
Ronald,Vanessa,308
Ronald,Brodie,2799
Avery,Jazlyn,54
Avery,Jameson,825
Avery,Dylan,486
Avery,Isaiah,307
Carolina,Allie,371
Carolina,Simon,524
Allie,Michaela,40
Allie,Carolina,279
Allie,Daniel,327
Allie,Simon,524
Michaela,Kyleigh,445
Michaela,Elijah,243
Michaela,Leilani,107
Michaela,Allie,371
Michaela,Daniel,327
Leilani,Diamond,1207
Leilani,Abel,186
Leilani,Kyleigh,445
Leilani,Elijah,243
Leilani,Michaela,40
Elijah,Marc,179
Elijah,Kyleigh,445
Elijah,Leilani,107
Elijah,Michaela,40
Kyleigh,Marc,179
Kyleigh,Jameson,825
Kyleigh,Elijah,243
Kyleigh,Leilani,107
Kyleigh,Michaela,40
Dylan,Isiah,718
Dylan,Jazlyn,54
Dylan,Jameson,825
Dylan,Avery,265
Jameson,Marc,179
Jameson,Jazlyn,54
Jameson,Dylan,486
Jameson,Kyleigh,445
Jameson,Avery,265
Jazlyn,Jaslene,483
Jazlyn,Jameson,825
Jazlyn,Dylan,486
Jazlyn,Avery,265
Jazlyn,Ronald,269
Jazlyn,Brodie,2799
Jaslene,Kyle,718
Jaslene,Jazlyn,54
Jaslene,Ronald,269
Jaslene,Brodie,2799
Marc,Jameson,825
Marc,Kyleigh,445
Marc,Elijah,243
Abel,Guillermo,45
Abel,Serena,245
Abel,Diamond,1207
Abel,Leilani,107
Diamond,Abel,186
Diamond,Leilani,107
Gage,Serena,245
Serena,Guillermo,45
Serena,Gage,142
Serena,Abel,186
Guillermo,Gianna,1275
Guillermo,Serena,245
Guillermo,Abel,186
Gianna,Guillermo,45
Kyle,Natalia,461
Kyle,Juan,310
Kyle,Madalyn,50
Kyle,Jaslene,483
Isiah,Dawson,460
Isiah,Madalyn,50
Isiah,Dylan,486
Kiara,Colin,364
Colin,Luis,364
Colin,Kenneth,305
Colin,Kiara,867
Madalyn,Dawson,460
Madalyn,Natalia,461
Madalyn,Juan,310
Madalyn,Isiah,718
Madalyn,Kyle,718
Juan,Marissa,425
Juan,Kenneth,305
Juan,Natalia,461
Juan,Madalyn,50
Juan,Kyle,718
Natalia,Juan,310
Natalia,Madalyn,50
Natalia,Kyle,718
Dawson,Madalyn,50
Dawson,Isiah,718
Kenneth,Luis,364
Kenneth,Marissa,425
Kenneth,Juan,310
Kenneth,Colin,364
Marissa,Kenneth,305
Marissa,Juan,310
Luis,Kenneth,305
Luis,Colin,364
